Frame Rate:,20.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
252,00:00:12.600,7.774522975077882,6.243049065420561,6.424094626168224,10.65642523364486
253,00:00:12.650,6.315391355140187,4.337529205607477,5.894071261682243,8.71457359813084
254,00:00:12.700,5.9422410436137065,4.086682242990654,5.628358644859813,8.111682242990653
255,00:00:12.750,5.791997663551402,3.9710280373831774,5.5008177570093455,7.9041471962616825
256,00:00:12.800,5.6226246105919016,4.081454439252337,5.279117990654205,7.507301401869159
257,00:00:12.850,5.376567367601246,4.05902453271028,4.951197429906542,7.119480140186916
258,00:00:12.900,5.34335085669782,4.057797897196262,4.763989485981308,7.208265186915888
259,00:00:12.950,4.959053738317757,3.8348130841121497,4.46813668224299,6.574211448598131
260,00:00:13.000,4.738385903426791,3.8693633177570095,4.1082651869158875,6.237529205607476
261,00:00:13.050,4.377297507788162,3.713639018691589,3.6228095794392523,5.795443925233645
262,00:00:13.100,3.9339855919003117,3.4256133177570094,3.0948306074766356,5.28151285046729
263,00:00:13.150,3.7078173676012463,3.348860981308411,2.7827686915887853,4.991822429906542
264,00:00:13.200,5.495882009345795,5.90563668224299,3.087996495327103,7.49401285046729
265,00:00:13.250,3.870833333333333,3.9250292056074767,2.3601051401869158,5.327365654205607
266,00:00:13.300,3.278845404984424,3.2971086448598133,2.149123831775701,4.390303738317757
267,00:00:13.350,2.8884832554517135,2.8664719626168225,1.8623539719626168,3.9366238317757007
268,00:00:13.400,2.7278134735202495,2.7360981308411216,1.637996495327103,3.8093457943925233
269,00:00:13.450,2.8167737538940814,2.8291471962616823,1.6717581775700934,3.9494158878504675
270,00:00:13.500,2.5995619158878505,2.4575642523364487,1.6047605140186916,3.7363609813084113
271,00:00:13.550,2.796660825545171,2.5508177570093458,1.8403621495327103,3.9988025700934577
272,00:00:13.600,3.3209988317757007,2.951839953271028,2.4166471962616822,4.594509345794393
273,00:00:13.650,3.515771028037383,2.9652745327102803,2.806396028037383,4.775642523364486
274,00:00:13.700,3.913570872274143,3.2875,3.1755257009345796,5.27768691588785
275,00:00:13.750,3.8228485202492215,3.2123831775700933,3.257038551401869,4.999123831775701
276,00:00:13.800,5.621427180685359,5.695122663551402,3.752570093457944,7.416588785046729
277,00:00:13.850,3.8915401090342683,3.6450058411214954,3.0264894859813083,5.003125
278,00:00:13.900,3.6369937694704046,3.4148656542056073,2.8873247663551402,4.608790887850467
279,00:00:13.950,3.5042834890965735,3.255841121495327,2.745268691588785,4.5117406542056075
280,00:00:14.000,3.381240264797508,3.005257009345794,2.7038551401869158,4.434608644859813
281,00:00:14.050,3.240926791277259,2.9136390186915886,2.5672021028037384,4.241939252336449
282,00:00:14.100,3.392834890965732,3.0944217289719624,2.7374707943925234,4.34661214953271
283,00:00:14.150,3.504507398753894,3.1841997663551402,2.8597838785046727,4.469538551401869
284,00:00:14.200,3.4551304517133956,3.056103971962617,2.9716705607476634,4.337616822429907
285,00:00:14.250,3.397254672897196,3.075584112149533,2.8886390186915887,4.227540887850467
286,00:00:14.300,3.2677667445482865,2.867844626168224,2.802482476635514,4.132973130841122
287,00:00:14.350,3.2589174454828664,2.9009345794392525,2.7939252336448597,4.081892523364486
288,00:00:14.400,4.906522585669782,5.204322429906542,3.1758177570093458,6.339427570093458
289,00:00:14.450,3.044519080996885,2.994421728971963,2.1373247663551402,4.001810747663551
290,00:00:14.500,2.4721573208722742,2.466676401869159,1.675,3.2747955607476635
291,00:00:14.550,2.2901966510903424,2.404351635514019,1.451752336448598,3.014485981308411
292,00:00:14.600,2.192971183800623,2.2390478971962615,1.3982768691588785,2.941588785046729
293,00:00:14.650,2.2218360591900312,2.354964953271028,1.3485105140186915,2.962032710280374
294,00:00:14.700,2.0991140965732087,2.234696261682243,1.2584112149532711,2.804234813084112
295,00:00:14.750,2.033177570093458,2.1767523364485983,1.1367990654205606,2.785981308411215
296,00:00:14.800,1.9647196261682243,2.0877628504672896,1.1152453271028038,2.6911507009345796
297,00:00:14.850,1.9514894859813083,2.0922605140186916,1.094538551401869,2.6676693925233645
298,00:00:14.900,1.9801109813084112,2.0828855140186917,1.1810747663551402,2.676372663551402
299,00:00:14.950,1.94603777258567,2.0448598130841122,1.1241822429906543,2.669071261682243
300,00:00:15.000,4.137276090342679,4.877920560747664,1.889106308411215,5.644801401869159
301,00:00:15.050,2.3339953271028038,2.6263726635514018,1.2319509345794393,3.14366238317757
302,00:00:15.100,2.159297118380062,2.4021320093457943,1.174678738317757,2.9010806074766355
303,00:00:15.150,2.5784754672897194,2.8722254672897196,1.3554322429906542,3.507768691588785
304,00:00:15.200,2.1365070093457943,2.309141355140187,1.0862733644859812,3.0141063084112147
305,00:00:15.250,1.7590634735202493,1.9433119158878505,0.8773364485981309,2.4565420560747664
306,00:00:15.300,2.0928933021806855,2.2985981308411216,1.0417348130841122,2.9383469626168224
307,00:00:15.350,2.077579828660436,2.2894859813084114,1.0568633177570093,2.8863901869158877
308,00:00:15.400,1.8869450934579437,2.118896028037383,0.9398656542056075,2.602073598130841
309,00:00:15.450,2.2956094236760123,2.6016355140186915,1.1875,3.0976927570093458
310,00:00:15.500,2.2334696261682243,2.445327102803738,1.1429614485981308,3.112120327102804
311,00:00:15.550,2.195083722741433,2.489748831775701,1.1818633177570093,2.9136390186915886
312,00:00:15.600,4.255208333333333,4.922663551401869,2.007827102803738,5.835134345794392
313,00:00:15.650,2.2043516355140187,2.4983060747663552,1.098393691588785,3.0163551401869158
314,00:00:15.700,2.4843068535825545,2.7760221962616822,1.2735689252336448,3.4033294392523366
315,00:00:15.750,2.3820093457943927,2.648101635514019,1.1964369158878505,3.301489485981308
316,00:00:15.800,2.176177959501558,2.37821261682243,1.1554322429906543,2.994889018691589
317,00:00:15.850,2.4280276479750778,2.6582651869158878,1.327394859813084,3.2984228971962617
318,00:00:15.900,2.067688862928349,2.2345794392523364,1.09375,2.8747371495327103
319,00:00:15.950,2.147478582554517,2.2912383177570095,1.188142523364486,2.963054906542056
320,00:00:16.000,2.111448598130841,2.1994742990654204,1.2003796728971963,2.9344918224299064
